roundId,matchId,roundNumber,winCondition,winningTeamId,team1LoadoutTier,team2LoadoutTier,attackingTeamId,seriesId,teamOneId,teamTwoId,map,half,spikePlant,spikePlantRoundTimeMillis,defuse,defuseLeftTimeMillis,roundDurationMillis,spikeX,spikeY,sitePlant,atkPostPlant,defPostPlant
1347348,86364,1,kills,212,,,363,38981.0,212.0,363.0,Pearl,first,,,,,33765,,,,,
1347349,86364,2,kills,212,3.0,1.0,363,38981.0,212.0,363.0,Pearl,first,,,,,77188,,,,,
1347350,86364,3,kills,363,3.0,4.0,363,38981.0,212.0,363.0,Pearl,first,True,95916,False,,124450,196.0,470.0,B,4.0,3.0
1347351,86364,4,kills,212,4.0,3.0,363,38981.0,212.0,363.0,Pearl,first,,,,,60285,,,,,
1347352,86364,5,bomb,363,3.0,1.0,363,38981.0,212.0,363.0,Pearl,first,True,44298,False,,90497,853.0,331.0,A,3.0,3.0
1347353,86364,6,kills,363,2.0,4.0,363,38981.0,212.0,363.0,Pearl,first,True,59573,False,,79293,853.0,331.0,A,5.0,2.0
1347354,86364,7,bomb,363,4.0,4.0,363,38981.0,212.0,363.0,Pearl,first,True,37942,False,,72226,853.0,331.0,A,5.0,4.0
1347355,86364,8,kills,363,3.0,4.0,363,38981.0,212.0,363.0,Pearl,first,True,39495,False,,71547,861.0,331.0,A,5.0,4.0
1347356,86364,9,kills,363,4.0,4.0,363,38981.0,212.0,363.0,Pearl,first,True,89387,False,,102685,853.0,331.0,A,2.0,2.0
1347357,86364,10,kills,363,2.0,4.0,363,38981.0,212.0,363.0,Pearl,first,True,92569,False,,93573,871.0,379.0,A,3.0,1.0
1347358,86364,11,kills,212,4.0,4.0,363,38981.0,212.0,363.0,Pearl,first,,,,,48833,,,,,
1347359,86364,12,defuse,212,4.0,4.0,363,38981.0,212.0,363.0,Pearl,first,True,81658,True,26680,99978,231.0,438.0,B,2.0,2.0
1347360,86364,13,kills,212,,,212,38981.0,212.0,363.0,Pearl,second,True,74537,False,,101467,871.0,332.0,A,1.0,1.0
1347361,86364,14,kills,212,3.0,1.0,212,38981.0,212.0,363.0,Pearl,second,True,35565,False,,50973,860.0,377.0,A,5.0,1.0
1347362,86364,15,defuse,363,3.0,4.0,212,38981.0,212.0,363.0,Pearl,second,True,45249,True,4178,86071,173.0,470.0,B,5.0,5.0
1347363,86364,16,kills,212,4.0,4.0,212,38981.0,212.0,363.0,Pearl,second,POST-WIN,46992,,,46992,,,,,
1347364,86364,17,kills,212,4.0,2.0,212,38981.0,212.0,363.0,Pearl,second,POST-WIN,48032,,,48032,,,,,
1347365,86364,18,kills,363,4.0,4.0,212,38981.0,212.0,363.0,Pearl,second,,,,,89897,,,,,
1347366,86364,19,kills,363,4.0,3.0,212,38981.0,212.0,363.0,Pearl,second,,,,,79409,,,,,
1347367,86364,20,kills,212,4.0,4.0,212,38981.0,212.0,363.0,Pearl,second,True,61154,False,,77909,885.0,319.0,A,3.0,3.0
1347368,86364,21,kills,212,3.0,4.0,212,38981.0,212.0,363.0,Pearl,second,True,37387,False,,75928,151.0,353.0,B,5.0,3.0
1347369,86364,22,kills,363,4.0,3.0,212,38981.0,212.0,363.0,Pearl,second,,,,,97772,,,,,
1347370,86364,23,defuse,363,4.0,4.0,212,38981.0,212.0,363.0,Pearl,second,True,95467,True,10606,129861,173.0,470.0,B,3.0,4.0
1347371,86364,24,kills,363,4.0,4.0,212,38981.0,212.0,363.0,Pearl,second,,,,,95891,,,,,
1347372,86365,1,kills,363,,,212,38981.0,212.0,363.0,Bind,first,,,,,79938,,,,,
1347373,86365,2,time,363,1.0,3.0,212,38981.0,212.0,363.0,Bind,first,,,,,100000,,,,,
1347374,86365,3,kills,212,4.0,3.0,212,38981.0,212.0,363.0,Bind,first,POST-WIN,93243,,,93243,,,,,
1347375,86365,4,bomb,212,4.0,4.0,212,38981.0,212.0,363.0,Bind,first,True,27710,False,,27710,697.0,356.0,A,5.0,2.0
1347376,86365,5,kills,212,4.0,3.0,212,38981.0,212.0,363.0,Bind,first,True,22212,False,,55281,705.0,354.0,A,5.0,2.0
1347377,86365,6,defuse,363,4.0,4.0,212,38981.0,212.0,363.0,Bind,first,True,19216,True,5688,58528,705.0,354.0,A,4.0,3.0
1347378,86365,7,kills,363,4.0,3.0,212,38981.0,212.0,363.0,Bind,first,,,,,62706,,,,,
1347379,86365,8,bomb,212,4.0,4.0,212,38981.0,212.0,363.0,Bind,first,True,32217,False,,32217,708.0,354.0,A,4.0,1.0
1347380,86365,9,kills,212,4.0,4.0,212,38981.0,212.0,363.0,Bind,first,POST-WIN,83617,,,83617,,,,,
1347381,86365,10,kills,212,4.0,3.0,212,38981.0,212.0,363.0,Bind,first,True,43406,False,,63881,296.0,320.0,B,2.0,1.0
