roundId,matchId,roundNumber,winCondition,winningTeamId,team1LoadoutTier,team2LoadoutTier,attackingTeamId,seriesId,teamOneId,teamTwoId,map,half,spikePlant,spikePlantRoundTimeMillis,defuse,defuseLeftTimeMillis,roundDurationMillis,spikeX,spikeY,sitePlant,atkPostPlant,defPostPlant
1299979,83354,1,kills,8308,,,8308,37656.0,363.0,8308.0,Ascent,first,True,32583,False,,68072,846.0,280.0,A,2.0,2.0
1299980,83354,2,kills,8308,1.0,3.0,8308,37656.0,363.0,8308.0,Ascent,first,True,52939,False,,66066,836.0,302.0,A,2.0,1.0
1299981,83354,3,kills,8308,4.0,3.0,8308,37656.0,363.0,8308.0,Ascent,first,POST-WIN,60260,,,60260,,,,,
1299982,83354,4,kills,363,2.0,3.0,8308,37656.0,363.0,8308.0,Ascent,first,,,,,83174,,,,,
1299983,83354,5,kills,363,4.0,2.0,8308,37656.0,363.0,8308.0,Ascent,first,,,,,92012,,,,,
1299984,83354,6,defuse,363,4.0,4.0,8308,37656.0,363.0,8308.0,Ascent,first,True,25365,True,23434,46931,831.0,280.0,A,5.0,4.0
1299985,83354,7,kills,8308,4.0,2.0,8308,37656.0,363.0,8308.0,Ascent,first,POST-WIN,34796,,,34796,,,,,
1299986,83354,8,kills,8308,4.0,4.0,8308,37656.0,363.0,8308.0,Ascent,first,POST-WIN,71469,,,71469,,,,,
1299987,83354,9,bomb,8308,4.0,4.0,8308,37656.0,363.0,8308.0,Ascent,first,True,30359,False,,57736,153.0,342.0,B,5.0,3.0
1299988,83354,10,kills,8308,3.0,4.0,8308,37656.0,363.0,8308.0,Ascent,first,True,79098,False,,104713,830.0,352.0,A,2.0,1.0
1299989,83354,11,time,363,4.0,4.0,8308,37656.0,363.0,8308.0,Ascent,first,,,,,100000,,,,,
1299990,83354,12,kills,363,3.0,4.0,8308,37656.0,363.0,8308.0,Ascent,first,,,,,42212,,,,,
1299991,83354,13,kills,8308,,,363,37656.0,363.0,8308.0,Ascent,second,,,,,71027,,,,,
1299992,83354,14,defuse,8308,1.0,3.0,363,37656.0,363.0,8308.0,Ascent,second,True,66513,True,33126,78387,180.0,303.0,B,2.0,4.0
1299993,83354,15,kills,363,4.0,3.0,363,37656.0,363.0,8308.0,Ascent,second,,,,,46947,,,,,
1299994,83354,16,kills,8308,4.0,4.0,363,37656.0,363.0,8308.0,Ascent,second,,,,,81130,,,,,
1299995,83354,17,kills,8308,4.0,4.0,363,37656.0,363.0,8308.0,Ascent,second,,,,,84834,,,,,
1299996,83354,18,kills,363,2.0,4.0,363,37656.0,363.0,8308.0,Ascent,second,True,78823,False,,85876,186.0,292.0,B,1.0,1.0
1299997,83354,19,defuse,8308,4.0,2.0,363,37656.0,363.0,8308.0,Ascent,second,True,60611,True,10456,95155,196.0,291.0,B,3.0,3.0
1299998,83354,20,kills,8308,3.0,4.0,363,37656.0,363.0,8308.0,Ascent,second,,,,,74733,,,,,
1300018,83355,1,defuse,8308,,,363,37656.0,363.0,8308.0,Pearl,first,True,71022,True,22588,93434,862.0,331.0,A,3.0,5.0
1300019,83355,2,kills,8308,3.0,3.0,363,37656.0,363.0,8308.0,Pearl,first,,,,,33112,,,,,
1300020,83355,3,kills,8308,2.0,3.0,363,37656.0,363.0,8308.0,Pearl,first,,,,,70591,,,,,
1300021,83355,4,kills,8308,4.0,4.0,363,37656.0,363.0,8308.0,Pearl,first,,,,,73739,,,,,
1300022,83355,5,kills,8308,3.0,4.0,363,37656.0,363.0,8308.0,Pearl,first,,,,,73531,,,,,
