roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
13,3055,25614,203.6502456,346.0042105,1.759778647,83354
13,3055,26815,188.6315789,347.8007018,1.736275377,83354
13,3055,45302,526.3000702,164.5585965,2.270783377,83354
13,3055,47344,604.1959298,164.7023158,3.759267927,83354
13,3055,53641,732.9684211,265.4495439,7.751214827,83354
13,3055,55051,737.28,251.1494737,2.023607597,83354
13,3055,71027,862.3157895,236.6338246,3.157699327,83354
14,3055,55573,741.0885614,379.4189474,3.855739927,83354
14,3055,57282,709.3265965,309.0683509,5.385805227,83354
14,3055,60290,664.4143158,256.2515088,5.370107927,83354
14,3055,66226,518.970386,285.4265263,4.682280127,83354
14,3055,66513,505.1014737,290.2411228,4.719388127,83354
14,3055,67423,468.9560702,291.1752982,4.676148727,83354
14,3055,68815,412.3306667,297.786386,4.442886627,83354
14,3055,78387,157.0133333,245.4725614,7.048257627,83354
15,3055,35920,706.7396491,418.0075789,3.909383327,83354
15,3055,38413,737.2081404,403.2763509,4.081492927,83354
15,3055,40850,707.170807,317.4040702,5.592445727,83354
15,3055,45450,639.2634386,162.8339649,,83354
16,3055,3559,854.842386,361.4540351,3.237854427,83354
16,3055,6185,779.1023158,397.3838596,3.394820427,83354
16,3055,7680,793.186807,398.8210526,2.150111027,83354
16,3055,11497,779.8927719,394.5094737,2.372466577,83354
16,3055,72305,907.0124912,302.5291228,4.674806327,83354
16,3055,74222,906.5094737,307.3437193,4.815932327,83354
16,3055,79192,935.9719298,385.5270175,,83354
17,3055,25737,237.7835789,337.8122105,7.582048727,83354
17,3055,62962,391.0602105,159.6721404,,83354
18,3055,28815,490.9451228,159.2409825,2.046905087,83354
18,3055,42567,396.9527018,196.608,4.481139327,83354
18,3055,44684,407.2286316,173.0380351,4.079924227,83354
18,3055,51586,554.181614,188.2722807,3.513318627,83354
18,3055,58277,600.5310877,241.8077193,6.091014327,83354
18,3055,61659,604.9145263,241.1609825,5.992955327,83354
18,3055,64207,605.9205614,240.1549474,5.833825927,83354
18,3055,69840,642.4252632,177.349614,4.372708127,83354
18,3055,78823,418.9417544,304.9004912,5.247557027,83354
18,3055,85876,334.9378246,239.2926316,,83354
19,3055,42148,152.989193,346.2197895,1.778651717,83354
19,3055,49109,113.1789474,322.5061053,,83354
20,3055,25541,754.3825965,335.872,3.701687327,83354
20,3055,36165,639.0478596,155.2887018,4.068647027,83354
20,3055,37380,623.2387368,137.5393684,3.972022627,83354
20,3055,39344,608.1482105,108.6517895,3.527963227,83354
20,3055,49123,542.2529123,140.7730526,,83354
