roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
13,17446,29168,241.9921662,427.4060534,4.167825,81270
13,17446,89508,717.2861721,331.2047478,2.891802,81270
13,17446,89538,718.1977448,331.8124629,2.9122696,81270
13,17446,90423,747.5503858,335.3372107,2.935491,81270
13,17446,90920,746.5780415,335.7018398,2.6810038,81270
14,17446,11436,220.1751929,438.4056973,3.8546066,81270
14,17446,25798,219.4459347,438.8918694,3.7846751,81270
14,17446,28267,233.5449258,434.455549,3.7504873,81270
14,17446,32180,261.4390504,287.2669436,0.75855356,81270
14,17446,38066,394.5894362,198.6620772,1.6430851,81270
14,17446,47583,623.1510979,231.3571513,2.8335502,81270
14,17446,51414,613.3061128,265.6322849,2.106728,81270
14,17446,51585,613.3061128,265.6322849,2.1228375,81270
14,17446,61453,746.0310979,281.6151929,,81270
15,17446,16253,457.9741246,201.1537092,1.0903727,81270
15,17446,53749,644.6642136,344.9391098,0.43919706,81270
15,17446,62424,624.3665282,316.5588131,3.7889833,81270
15,17446,64112,626.1896736,340.8674184,1.2922822,81270
15,17446,66200,594.5884866,344.0275371,,81270
16,17446,13607,246.9754303,399.2080712,3.721342,81270
16,17446,19076,340.6243323,240.8982789,0.42213047,81270
16,17446,38073,766.6934125,275.2949555,3.3720734,81270
16,17446,38212,768.3342433,275.5380415,,81270
17,17446,20710,193.8611276,471.9515727,3.1189663,81270
17,17446,45489,232.3902671,425.8867656,3.5498226,81270
17,17446,58297,207.7778042,433.3616617,1.2426203,81270
17,17446,67725,393.1916914,208.8716914,1.2758878,81270
17,17446,71501,538.7394659,165.7239169,1.6010588,81270
17,17446,71770,549.6175668,166.6962611,2.1921606,81270
17,17446,76510,666.5419585,294.3164392,3.0665236,81270
17,17446,78705,648.0066469,334.3648665,4.419973,81270
17,17446,83156,685.8672997,388.6338279,1.3744462,81270
18,17446,10953,222.0591098,427.952997,3.8012993,81270
18,17446,15048,225.158457,426.7375668,3.8027372,81270
18,17446,30106,225.3407715,427.709911,3.791425,81270
18,17446,30205,225.3407715,427.7706825,3.791425,81270
18,17446,37043,188.817092,527.6790504,2.759562,81270
18,17446,53412,373.137092,549.7391098,2.3990493,81270
18,17446,77559,577.7547774,542.6896142,1.6158965,81270
18,17446,78635,587.7213056,534.7893175,,81270
19,17446,30571,587.5997626,360.3143027,2.3181152,81270
19,17446,33342,594.4669436,345.3645104,2.5740187,81270
19,17446,38387,590.5167953,384.501365,1.57559,81270
19,17446,40617,627.6481899,359.2811869,2.5541732,81270
19,17446,41375,629.5321068,360.1927596,3.1316218,81270
19,17446,42362,635.1230861,368.3361424,,81270
20,17446,87021,285.1399407,267.5162018,3.0522382,81270
20,17446,89677,325.8568546,253.5387537,3.1817932,81270
20,17446,89697,326.0391691,253.5387537,,81270
21,17446,8209,219.7497923,429.1076558,3.863714,81270
21,17446,33354,233.6664688,425.0967359,3.829007,81270
21,17446,51332,217.1973887,443.6320475,3.8701386,81270
21,17446,51719,222.788368,436.5825519,3.8709056,81270
21,17446,60169,380.7335312,197.6289614,2.0306063,81270
21,17446,62877,422.3012463,198.2974481,1.5403084,81270
21,17446,65851,533.8777448,162.7461128,1.6593837,81270
21,17446,66382,555.451632,168.1547774,2.2878368,81270
21,17446,74778,764.0802374,363.5351929,2.1425881,81270
22,17446,63336,318.0173294,249.9532344,2.0870767,81270
22,17446,68071,402.3681899,200.5459941,1.7114432,81270
22,17446,68593,422.8481899,201.6398813,1.4967811,81270
22,17446,74611,621.9964392,225.28,2.8551207,81270
22,17446,94378,728.5289021,345.911454,1.0475168,81270
22,17446,108441,658.8847478,358.8557864,3.3251917,81270
22,17446,108636,659.0670623,358.9165579,3.3414907,81270
22,17446,109017,667.1496736,360.8612463,,81270
