roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
13,4054,29168,608.1405341,360.1319881,2.8795688,81270
13,4054,89508,780.4277745,331.2047478,3.2982512,81270
13,4054,89538,780.4277745,331.2047478,3.2982512,81270
13,4054,90423,785.5933531,334.9725816,4.0594077,81270
13,4054,90920,795.1952522,347.3091988,4.2286096,81270
14,4054,11436,782.3116914,422.6051039,1.6245812,81270
14,4054,25798,818.3491988,436.5825519,,81270
15,4054,16253,789.48273,416.1633234,5.409391,81270
15,4054,53749,853.7182196,515.0993472,6.0591264,81270
15,4054,62424,853.7182196,466.9683086,,81270
16,4054,13607,805.8910386,220.539822,,81270
17,4054,20710,619.140178,360.0712166,3.0524173,81270
17,4054,45489,613.3061128,270.6763205,2.0669432,81270
17,4054,58297,627.2227893,264.5991691,2.1848683,81270
17,4054,67725,704.5241543,300.1505045,4.213832,81270
17,4054,71501,694.4360831,354.4802374,5.805542,81270
17,4054,71770,694.4360831,354.4802374,6.1789827,81270
17,4054,76510,693.4029674,356.9110979,4.3711734,81270
17,4054,78705,697.8392878,367.1207122,4.357356,81270
17,4054,83156,695.3476558,360.0712166,4.9997234,81270
18,4054,10953,778.1792285,392.2193472,2.4734156,81270
18,4054,15048,778.361543,397.8103264,2.2340505,81270
18,4054,30106,601.9418398,359.1596439,2.5101678,81270
18,4054,30205,601.9418398,359.1596439,,81270
19,4054,30571,678.7570326,296.3218991,2.6926162,81270
19,4054,33342,642.3548961,279.1235608,,81270
20,4054,87021,586.6881899,344.2706231,2.9839756,81270
20,4054,89677,598.1132344,356.8503264,1.9185354,81270
20,4054,89697,597.8701484,356.4249258,1.8347641,81270
20,4054,89986,596.5939466,351.1378042,1.5197915,81270
20,4054,91426,651.0452226,330.9616617,1.0316974,81270
20,4054,99466,472.3162018,178.7290208,3.8530715,81270
20,4054,110204,333.5748368,219.0813056,2.7168722,81270
20,4054,123018,337.9503858,194.0434421,3.1824348,81270
20,4054,124561,345.789911,201.0321662,3.4182851,81270
20,4054,133841,352.1709199,275.8418991,6.205048,81270
21,4054,8209,612.5160831,358.7342433,2.8948128,81270
21,4054,33354,615.0684866,358.3696142,2.967776,81270
21,4054,51332,829.9565579,321.3597626,5.0668917,81270
21,4054,51719,829.9565579,311.0286053,4.94009,81270
21,4054,60169,829.9565579,320.8735905,4.675669,81270
21,4054,62877,828.1334125,313.1556083,4.2180037,81270
21,4054,65851,803.9463501,350.8947181,,81270
22,4054,63336,829.9565579,307.5646291,3.9480827,81270
22,4054,68071,805.4048665,344.8175668,3.6817453,81270
22,4054,68593,805.2833234,344.7567953,,81270
