roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
1,1913,13510,376.9049258,450.2561424,2.7359505,81259
1,1913,37134,339.5304451,482.1611869,,81259
2,1913,7985,668.4258754,394.4071217,3.447047,81259
2,1913,50050,587.7820772,378.6672997,1.7558159,81259
2,1913,57842,651.8352522,322.3321068,1.6325388,81259
2,1913,74988,586.0197033,378.6065282,,81259
3,1913,14927,616.770089,358.2480712,,81259
4,1913,49477,592.2791691,338.3150148,2.6446702,81259
4,1913,51368,602.9749555,335.1548961,2.9889603,81259
4,1913,52573,596.5331751,346.8837982,2.9889603,81259
4,1913,58841,467.2113947,459.4934125,4.8669696,81259
4,1913,67223,305.1945401,572.6499703,4.9283934,81259
4,1913,93610,264.8422552,390.7000593,,81259
5,1913,9799,303.2498516,405.8321662,2.249032,81259
5,1913,34108,330.6578042,498.8125816,0.42510322,81259
5,1913,34721,331.3262908,498.5694955,0.40566352,81259
5,1913,45406,434.7594065,474.5039763,1.7827739,81259
5,1913,60222,386.8106825,605.1019585,1.6010923,81259
5,1913,78770,513.4585163,708.7781602,1.9865044,81259
5,1913,85194,693.1598813,734.788368,0.566807,81259
6,1913,37143,650.619822,321.7851632,4.2368565,81259
6,1913,37143,650.619822,321.7851632,4.2368565,81259
6,1913,39280,655.238457,290.1839763,2.4646285,81259
6,1913,39659,659.9178635,293.0402374,2.1730754,81259
6,1913,41345,628.012819,269.0962611,5.4653482,81259
6,1913,42855,605.405816,206.9877745,4.939073,81259
6,1913,48049,412.4562611,201.7614243,,81259
7,1913,28873,593.5553709,200.302908,2.4185116,81259
7,1913,29351,604.7981009,207.5347181,2.4185116,81259
7,1913,29936,609.9636795,212.1533531,2.396172,81259
7,1913,31229,629.8967359,255.4834421,2.5786204,81259
7,1913,32135,644.8465282,285.6261128,1.9302022,81259
7,1913,35801,701.9109792,258.8866469,3.1472046,81259
7,1913,46156,742.5671217,268.9747181,4.1266003,81259
8,1913,10108,823.4540059,421.6935312,,81259
9,1913,18387,218.2305045,438.3449258,3.3587475,81259
9,1913,33052,217.6227893,432.7539466,3.414093,81259
9,1913,34848,224.7938279,432.1462315,3.4324305,81259
9,1913,44956,237.7381602,388.3907418,3.6365888,81259
9,1913,50325,221.4513947,382.3135905,1.424013,81259
9,1913,88127,203.1591691,393.738635,1.713073,81259
9,1913,102595,157.3982196,433.5439763,4.4855494,81259
10,1913,7879,304.7691395,416.224095,2.0802875,81259
10,1913,26565,338.6188724,399.8765579,2.9435174,81259
10,1913,82407,502.6411869,174.2319288,2.0917742,81259
10,1913,91251,715.2807122,249.1632047,3.171697,81259
10,1913,91911,728.3465875,249.1632047,3.2333438,81259
10,1913,92383,719.170089,249.9532344,2.6664426,81259
10,1913,94540,686.3534718,256.7596439,2.5974116,81259
10,1913,104548,755.632997,285.2614837,2.5581043,81259
11,1913,41776,354.1156083,221.5121662,1.4357071,81259
11,1913,42170,368.518457,213.915727,1.471471,81259
11,1913,48238,578.7878932,165.4200593,2.5716221,81259
11,1913,51467,600.1794659,223.152997,2.0004299,81259
11,1913,63435,639.6809496,281.3113353,2.1121001,81259
11,1913,65204,678.8178042,270.1293769,2.6962593,81259
11,1913,68014,749.3735312,275.2949555,3.3988228,81259
11,1913,76099,786.2618398,320.812819,,81259
12,1913,5988,184.441543,524.0935312,2.4572515,81259
12,1913,6618,184.441543,524.0935312,2.5184128,81259
12,1913,7073,187.7232047,521.6626706,2.540079,81259
12,1913,8808,193.55727,500.8788131,2.8508682,81259
12,1913,13164,182.8007122,438.5880119,2.9946182,81259
12,1913,15015,172.4087834,461.0127003,2.7554135,81259
