date,selfTeam,playerName,oppoTeam,map,anchorTime,anchorRatio
07-02-2023,GODS,psy,RNT,Bind,43.6,0.63
07-02-2023,GODS,psy,RNT,Pearl,28.47,0.79
07/02/2023,GODS,Vibhor,RNT,Bind,58.29,0.85
07/02/2023,GODS,Vibhor,RNT,Pearl,28.19,0.81
07/02/2023,GODS,Hoax,RNT,Bind,40.88,0.62
07/02/2023,GODS,Hoax,RNT,Pearl,26.11,0.74
07/02/2023,GODS,Ember,RNT,Bind,51.23,0.74
07/02/2023,GODS,Ember,RNT,Pearl,24.7,0.76
07/02/2023,GODS,KnightRider,RNT,Bind,46.25,0.68
07/02/2023,GODS,KnightRider,RNT,Pearl,28.74,0.82
07/02/2023,GODS,KnightRider,RNT,Bind,46.25,0.68
07/02/2023,GODS,KnightRider,RNT,Pearl,28.74,0.82
07/02/2023,RNT,JoshS,GODS,Bind,52.45,0.68
07/02/2023,RNT,JoshS,GODS,Pearl,32.63,0.75
07/02/2023,RNT,JoshS,GODS,Bind,52.45,0.68
07/02/2023,RNT,JoshS,GODS,Pearl,32.63,0.75
07/02/2023,RNT,JoshS,GODS,Bind,52.45,0.68
07/02/2023,RNT,JoshS,GODS,Pearl,32.63,0.75
07/02/2023,RNT,JoshS,GODS,Bind,52.45,0.68
07/02/2023,RNT,JoshS,GODS,Pearl,32.63,0.75
