Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CLSuc,CLSit,KMax,K,D,A,FK,FD
yay,492,1.26,254.6,1.5,0.73,159.8,0.93,0.09,0.2,0.08,0.26,0.15,9,59,30,460,306,42,96,40
kiNgg,179,1.26,260,1.36,0.77,160.9,0.89,0.3,0.23,0.12,0.23,0.11,2,18,26,159,117,53,42,21
Laz,148,1.23,245,1.31,0.71,156.1,0.86,0.21,0.15,0.09,0.28,0.2,6,30,25,128,98,31,22,14
pancada,366,1.21,210.5,1.25,0.78,137.5,0.76,0.39,0.08,0.04,0.34,0.15,6,41,21,277,221,143,29,16
Derke,319,1.2,247.9,1.39,0.7,166.2,0.92,0.13,0.17,0.15,0.34,0.21,5,24,31,292,210,42,53,47
Shao,357,1.15,194.5,1.12,0.8,133.7,0.68,0.43,0.04,0.04,0.3,0.16,9,56,28,242,216,155,14,15
Cryocells,285,1.15,232.2,1.27,0.71,143.4,0.85,0.13,0.18,0.13,0.24,0.19,8,42,26,242,191,36,50,36
Sacy,366,1.14,194,1.14,0.77,127.5,0.68,0.41,0.07,0.05,0.25,0.12,5,42,32,248,217,151,27,17
MaKo,416,1.13,207.8,1.14,0.78,135.9,0.72,0.43,0.07,0.07,0.29,0.14,9,63,28,300,263,179,29,28
Less,366,1.13,219.9,1.31,0.71,142.6,0.81,0.17,0.1,0.1,0.25,0.21,7,34,27,295,226,63,37,37
keznit,144,1.11,237.4,1.01,0.67,151.2,0.78,0.35,0.19,0.19,0.27,0,0,13,23,112,111,51,27,27
SUYGETSU,357,1.11,209.9,1.15,0.74,139.4,0.74,0.29,0.05,0.04,0.36,0.17,9,54,24,265,231,105,19,15
Alfajer,319,1.11,242.5,1.17,0.73,159.5,0.81,0.22,0.14,0.15,0.25,0.18,4,22,27,257,219,69,45,47
Zyppan,357,1.09,232.1,1.06,0.73,152.9,0.79,0.28,0.17,0.12,0.27,0.09,3,32,30,283,266,99,61,43
Mistic,319,1.09,195.5,1.08,0.76,124.3,0.7,0.39,0.09,0.06,0.27,0.18,6,34,24,224,207,123,29,19
ScreaM,257,1.09,222.3,1.11,0.68,151.3,0.73,0.21,0.16,0.14,0.29,0.08,2,26,20,188,169,53,41,36
Mazino,144,1.09,223.6,1.08,0.67,144.2,0.75,0.4,0.07,0.09,0.29,0.06,1,16,19,108,100,58,10,13
NagZ,144,1.08,213.3,1.11,0.75,138,0.76,0.15,0.17,0.1,0.25,0.15,3,20,24,110,99,21,24,14
Will,157,1.07,245.3,1.16,0.72,155,0.86,0.19,0.2,0.13,0.18,0.13,2,16,28,135,116,30,31,21
Jamppi,257,1.06,218.7,1.13,0.72,143.7,0.77,0.16,0.17,0.12,0.24,0.21,6,28,29,197,175,41,43,30
crashies,492,1.06,195.4,1.04,0.72,128.4,0.68,0.37,0.07,0.08,0.26,0.11,6,56,28,337,324,180,33,41
ardiis,357,1.06,234.5,1.09,0.71,148.7,0.82,0.2,0.19,0.12,0.21,0.13,4,32,30,294,269,73,67,43
BuZz,416,1.05,233.2,1.04,0.68,152.3,0.78,0.18,0.22,0.17,0.26,0.15,5,34,36,324,311,73,90,72
CHICHOO,107,1.05,174.8,0.97,0.72,122.2,0.6,0.35,0.04,0.07,0.28,0.18,4,22,20,64,66,37,4,8
