Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,FKPer,FDPer,Player,Team
147,317.4,1.75,0.82,190.2,1.13,0.17,0.24,0.09,0.35,0.24,5/21,37,166,95,25,36,13,21.69,13.68,n1zzy,FCY
137,269.3,1.15,0.75,169.4,0.93,0.18,0.19,0.15,0.36,,0/16,26,128,111,25,26,20,20.31,18.02,deLb,AE
146,267.7,1.3,0.75,175.7,0.95,0.16,0.13,0.09,0.35,0.15,3/20,29,139,107,24,19,13,13.67,12.15,Fluky,XIA
129,256,1.27,0.71,159.8,0.83,0.28,0.2,0.16,0.28,0.4,4/10,21,107,84,36,26,21,24.30,25.00,DEATHMAKER,VLT
159,236.4,1.07,0.61,146.4,0.86,0.14,0.22,0.16,0.24,,0/22,25,136,127,22,35,26,25.74,20.47,SkRossi,GES
147,232.6,1.07,0.67,157.9,0.84,0.27,0.16,0.16,0.3,0.31,4/13,28,123,115,39,24,24,19.51,20.87,Paradox,RNT
146,231.1,1.21,0.76,149.4,0.82,0.21,0.14,0.18,0.32,0.09,1/11,22,120,99,31,20,26,16.67,26.26,Juicy,BLD
41,228,1.33,0.8,149.5,0.78,0.46,0.02,0.02,0.2,0.33,1/3,18,32,24,19,1,1,3.13,4.17,Sushiboys,XIA
129,226.7,1.04,0.66,148.2,0.74,0.2,0.19,0.14,0.28,,0/7,23,96,92,26,24,18,25.00,19.57,Deadly10,VLT
137,226.7,0.95,0.69,150.9,0.76,0.28,0.12,0.13,0.32,0.5,7/14,22,104,109,39,17,18,16.35,16.51,Kush,AE
147,226.6,1.12,0.72,154.5,0.79,0.43,0.1,0.14,0.28,0.1,1/10,29,116,104,63,15,21,12.93,20.19,K1LLERS,FCY
146,225,1.1,0.7,150.4,0.73,0.33,0.09,0.1,0.27,0.19,4/21,22,106,96,48,13,14,12.26,14.58,crazyguy,BLD
143,224.9,1.11,0.73,145.5,0.8,0.15,0.14,0.13,0.15,,0/14,26,115,104,21,20,19,17.39,18.27,ZesBeeW,EST
146,219.6,1.25,0.77,142.9,0.76,0.47,0.08,0.08,0.21,0.14,1/7,25,111,89,69,11,12,9.91,13.48,JayH,BLD
147,218.4,1.2,0.73,136.4,0.77,0.2,0.14,0.07,0.27,0.3,3/10,26,113,94,30,20,11,17.70,11.70,YESicaN,FCY
143,217.3,0.99,0.68,139.2,0.76,0.13,0.16,0.17,0.23,0.09,1/11,20,108,109,19,23,25,21.30,22.94,SSSami,EST
105,216.8,0.95,0.63,139.6,0.73,0.33,0.05,0.12,0.25,0.12,2/17,23,77,81,35,5,13,6.49,16.05,sScary,XIA
146,212.9,1.18,0.76,144.1,0.79,0.11,0.12,0.12,0.28,0.13,2/15,24,116,98,16,18,17,15.52,17.35,Deryeon,BLD
41,210,1.17,0.85,138.9,0.68,0.49,0.15,0.05,0.24,,,14,28,24,20,6,2,21.43,8.33,BNW,XIA
14,207,0.69,0.71,128.4,0.64,0.14,0.07,0.07,0.2,0.17,1/6,9,9,13,2,1,1,11.11,7.69,Kohliii,GES
147,206.4,1,0.67,138.7,0.73,0.17,0.11,0.1,0.34,0.25,4/16,30,108,108,25,16,15,14.81,13.89,BADlove,RNT
129,203.9,1.16,0.74,129.1,0.71,0.28,0.05,0.04,0.23,0.13,2/16,18,92,79,36,6,5,6.52,6.33,rite2ace,VLT
159,203.7,1.02,0.7,143.5,0.75,0.2,0.13,0.12,0.27,0.14,2/14,31,119,117,32,21,19,17.65,16.24,Lightningfast,GES
146,199.9,0.93,0.61,125.8,0.7,0.13,0.17,0.18,0.27,0.15,2/13,21,102,110,19,25,26,24.51,23.64,Surf,XIA
147,198.9,1.17,0.8,125.9,0.71,0.46,0.08,0.04,0.33,0.13,3/24,23,105,90,67,12,6,11.43,6.67,f1cio,FCY
129,193.7,1.02,0.69,127.8,0.69,0.28,0.05,0.08,0.33,0.13,2/15,16,89,87,36,6,10,6.74,11.49,hellff,VLT
146,189.9,1.16,0.73,119.2,0.69,0.29,0.04,0.06,0.26,0.21,4/19,19,101,87,42,6,9,5.94,10.34,Retla,BLD
147,189.4,0.94,0.67,136.9,0.68,0.22,0.08,0.07,0.3,0.11,2/19,25,100,106,32,12,11,12.00,10.38,Whimp,RNT
