locX,locY
758.1854006,386.8106825
774.8975668,403.5836202
616.8308605,346.3976261
217.6227893,444.0574481
321.3597626,405.8321662
729.6227893,276.5711573
697.1100297,306.8353709
343.7236795,240.8982789
403.8267062,204.3138279
752.3513353,313.2163798
615.4331157,346.4583976
566.8766766,180.2483086
627.7089614,236.9481306
588.0251632,341.8397626
677.7239169,267.8200593
601.7595252,331.9947774
592.2791691,342.3259347
710.175905,270.6763205
596.8978042,332.055549
722.3302077,279.7920475
587.6605341,335.4587537
587.1135905,181.2814243
618.1678338,454.0847478
663.6249258,321.9067062
564.3850445,176.5412463
624.6703858,336.0664688
367.6068843,304.1614243
225.7054006,413.8540059
202.9160831,434.2124629
528.5906231,164.6300297
598.1132344,344.0275371
366.4522255,303.6144807
214.1588131,427.7706825
260.0413056,407.4122255
705.7395846,208.3855193
215.1919288,395.4402374
259.0081899,418.2295549
738.0092582,212.7610682
215.1919288,395.4402374
247.6439169,432.1462315
764.505638,217.9874184
232.4510386,395.1971513
803.338635,197.9935905
248.3731751,378.7888427
815.7360237,215.6173294
510.2376261,169.1878932
780.5493175,340.0773887
805.6479525,402.4289614
787.1734125,415.4340653
729.0150742,385.8991098
851.8343027,479.3656973
652.1391098,285.9907418
234.1526409,420.6604154
314.188724,391.6724036
474.1393472,196.8389318
742.0809496,296.6257567
386.4460534,214.8272997
343.8452226,364.7506231
367.6676558,217.4404748
631.9021958,271.9525223
311.1501484,236.5835015
355.0879525,271.4663501
590.3952522,198.054362
277.3004154,236.5835015
307.9292582,291.5817211
368.64,215.5565579
284.8968546,293.465638
650.6805935,479.6695549
585.8981602,187.2978042
634.4545994,241.9921662
759.2185163,322.5751929
250.8040356,351.8670623
792.3997626,244.7876558
605.5881306,333.3925223
710.4189911,317.4096142
266.4223145,275.9026706
602.4280119,328.8346588
684.2264688,330.7793472
328.7738872,277.8473591
597.7486053,327.7407715
662.4094955,322.6359644
323.4867656,284.5322255
589.6052226,351.0162611
329.9893175,278.2727596
486.1113353,181.6460534
615.0684866,195.9273591
629.2282493,272.0740653
697.1708012,345.5468249
792.6428487,406.7437389
495.7132344,178.2428487
783.5271217,424.1851632
210.2694362,428.1960831
689.2097329,342.3259347
829.9565579,395.865638
601.3341246,207.5347181
887.2033234,432.328546
149.5586944,462.6535312
691.822908,343.2375074
829.9565579,395.865638
618.2286053,221.2083086
893.6451039,440.5934718
149.5586944,462.6535312
644.6034421,486.6582789
659.6140059,324.6414243
681.9779228,385.0483086
717.8938872,618.3501484
651.2883086,465.6313353
727.8604154,350.8947181
646.4265875,519.4141246
671.4036795,413.6716914
783.2232641,312.7302077
632.388368,470.3107418
666.2988724,395.5010089
769.5496736,318.2604154
638.5870623,448.9191691
322.939822,395.6833234
803.0347774,400.3019585
568.0313353,176.7843323
751.0751335,321.9674777
664.8403561,297.7804154
323.0005935,393.4347774
803.7032641,398.4180415
569.7329377,178.2428487
664.475727,296.6865282
344.4529377,245.638457
815.0675371,305.5591691
613.3061128,273.4110386
508.9006528,167.6078338
735.031454,290.2447478
657.730089,329.6854599
582.9811276,191.4302671
714.9160831,271.4055786
694.6183976,324.4591098
624.2449852,258.6435608
742.8102077,271.3448071
735.2137685,338.3757864
728.2250445,343.9667656
760.6162611,315.9510979
214.8272997,249.4670623
209.2363205,240.1082493
331.0832047,386.3245104
414.7655786,207.7778042
290.0016617,244.8484273
404.4344214,202.429911
675.5969139,315.3433828
333.3925223,369.9162018
306.5315134,200.2421365
297.3550148,194.0434421
565.7220178,167.9724629
220.8436795,236.2796439
209.2363205,201.9437389
451.6538872,197.5681899
222.1806528,260.4667062
215.0703858,229.8378635
439.1349555,198.4797626
228.0147181,254.6934125
417.0748961,206.3800593
448.189911,195.4411869
286.5376855,319.6581602
212.2141246,443.6320475
326.0391691,266.361543
841.1992878,504.9505045
343.8452226,367.6676558
587.9036202,191.9164392
541.6564985,159.464451
566.815905,139.1667656
700.5740059,576.0531751
319.9620178,409.2961424
607.8366766,215.2527003
580.3679525,186.9331751
588.6328783,180.4306231
686.9004154,549.0098516
321.2989911,360.3750742
789.9081306,241.9921662
607.532819,214.5234421
807.8964985,257.0635015
666.5419585,537.7671217
509.629911,168.9448071
794.5875371,249.8316914
607.532819,214.5234421
665.9950148,538.3748368
525.855905,167.0001187
776.7207122,263.6268249
620.7202374,241.4452226
622.9080119,451.8362018
588.0859347,183.5299703
626.2504451,276.6927003
709.0820178,401.8212463
681.7956083,213.6118694
841.2600593,436.0356083
854.0828487,483.6197033
327.8623145,302.2167359
692.3698516,303.8575668
214.5234421,347.1876558
722.0871217,311.5147774
835.6083086,423.8205341
674.1991691,274.6872404
715.0376261,279.1843323
550.7722255,168.2763205
697.4138872,267.6377448
793.0074777,407.229911
739.3462315,282.8306231
678.1493175,278.5158457
653.3545401,279.3058754
692.6129377,270.4332344
795.1952522,401.5173887
737.3407715,282.344451
682.5248665,275.0518694
654.6307418,283.0129377
687.4473591,272.6210089
795.1952522,401.5173887
731.8105638,281.1897923
682.5248665,275.0518694
654.8130564,282.8306231
335.2764392,223.3353116
370.2808309,218.655905
305.3768546,389.3023145
333.0278932,434.8809496
335.2764392,253.4172107
351.8062908,242.6606528
323.7906231,372.4686053
327.1330564,408.6884273
292.4325223,297.8411869
624.7311573,230.2632641
383.2859347,214.2195846
322.939822,291.460178
819.8077151,436.4002374
827.7080119,422.9089614
165.6631454,428.4391691
739.1031454,332.9063501
231.2356083,430.9308012
790.5158457,355.3310386
796.7753116,421.5112166
319.7797033,243.8760831
639.5594065,281.5544214
230.1417211,329.9893175
773.1959644,315.3433828
824.6694362,422.7874184
338.1934718,255.6657567
619.8694362,222.8491395
674.8068843,290.2447478
786.5656973,388.4515134
280.7036202,247.887003
528.0436795,165.1769733
624.2449852,227.650089
780.1239169,320.812819
268.9747181,248.6162611
449.5268843,205.2254006
387.4183976,210.1478932
632.4491395,478.5756677
339.8343027,310.6639763
311.2716914,248.251632
328.6523442,276.6319288
544.4519881,568.6390504
271.8309792,238.1027893
