locX,locY
394.5894362,592.1576261
572.5284273,546.5789911
180.0052226,611.6652819
234.5780415,658.1554896
712.9713947,722.6340653
311.7578635,400.605816
364.5683086,447.0352522
233.1195252,598.4778635
331.0832047,468.669911
309.448546,395.0148368
363.3528783,447.0960237
226.4954303,593.92
331.9340059,471.1007715
355.6348961,249.7101484
153.1442136,330.5970326
293.5264095,319.5366172
343.662908,427.8922255
354.2371513,250.0140059
153.5696142,302.702908
300.6974481,319.5973887
343.662908,427.8922255
176.2373887,273.7756677
261.0744214,301.5482493
342.9944214,428.3176261
211.1202374,250.4394065
324.4591098,423.091276
218.655905,260.8313353
340.6851039,439.195727
218.3520475,267.2123442
352.3532344,449.6484273
217.9874184,436.5825519
392.8878338,598.9640356
532.358457,567.6667062
267.5162018,684.1049258
273.4718101,680.0332344
765.7210682,670.7959644
746.4564985,381.0373887
652.7468249,465.6921068
665.6303858,386.2637389
859.4307418,515.8893769
773.499822,406.6221958
650.8021365,497.2325223
693.6460534,354.1763798
837.188368,439.7426706
829.7134718,367.1814837
663.8680119,557.9432641
664.7795846,381.5235608
773.0744214,440.1680712
825.0340653,366.269911
654.9953709,559.0371513
664.8403561,380.7335312
772.8921068,440.1072997
823.4540059,364.7506231
654.0837982,558.9763798
664.9011276,379.4573294
772.9528783,440.1680712
778.7261721,353.2040356
620.4163798,522.1488427
786.6264688,430.9915727
615.5546588,489.149911
795.2560237,435.8532938
653.3545401,458.9464688
797.5045697,390.8216024
622.5433828,551.5622552
388.998457,574.1692582
642.8410682,480.034184
409.3569139,678.6354896
739.4677745,694.3753116
592.2791691,363.2921068
604.1903858,544.5735312
597.5662908,331.1439763
672.9837389,432.8754896
844.055549,443.6320475
586.9920475,349.5577448
595.3177448,532.4192285
648.735905,439.5603561
832.5089614,434.577092
605.7096736,364.8113947
625.5819585,417.0748961
627.4051039,402.3074184
810.1450445,439.2564985
654.3876558,319.8404748
690.8505638,377.9380415
677.7239169,405.0421365
864.535549,458.5818398
673.1052819,321.4205341
725.9764985,354.1763798
698.3254599,381.0981602
839.9230861,441.7481306
618.8363205,414.8263501
637.128546,278.9412463
719.1093175,354.4194659
799.2061721,323.7906231
188.2701484,454.0239763
210.1478932,478.8187537
343.784451,431.0523442
186.0823739,470.6753709
707.7450445,619.4440356
196.5350742,455.6648071
210.1478932,483.4373887
343.7236795,417.1964392
193.435727,474.5647478
699.1154896,585.8981602
201.0321662,489.8791691
332.7240356,388.3907418
203.4630267,495.2878338
691.2151929,565.2358457
186.0216024,331.5693769
349.3754303,227.407003
286.9023145,362.5020772
644.2388131,489.2106825
300.6974481,254.6934125
294.7418398,222.4845104
348.16,297.7196439
284.4106825,271.8917507
352.0493769,268.6708605
279.7920475,220.1751929
246.3069436,280.2782196
359.0381009,305.0122255
279.2451039,219.0813056
243.8760831,285.8691988
357.3364985,301.9736499
252.4448665,304.5868249
345.3037389,216.3465875
251.5940653,285.5045697
857.911454,559.3410089
279.731276,601.2125816
572.5891988,535.8224332
292.6756083,626.9797033
842.2931751,568.4567359
809.7196439,426.3729377
484.4097329,618.5932344
703.7948961,591.7322255
478.2718101,619.4440356
826.6748961,418.9588131
816.7691395,423.2735905
485.8682493,619.6871217
706.5296142,586.0197033
825.945638,418.9588131
643.995727,404.7382789
639.3163205,455.6648071
807.0456973,398.8434421
592.5830267,536.1262908
693.6460534,580.1248665
627.8305045,481.0672997
595.3177448,537.4632641
573.6830861,528.7121662
603.9472997,559.584095
310.4816617,387.1753116
310.4816617,387.1753116
196.9604748,553.1423145
196.9604748,553.1423145
343.784451,384.0759644
343.784451,384.0759644
195.684273,564.8712166
195.684273,564.8712166
185.1708012,500.8180415
314.1279525,347.4915134
317.7134718,388.998457
190.944095,520.6903264
314.1279525,347.4307418
312.6086647,380.9158457
197.6897329,504.0997033
317.1057567,348.4030861
207.6562611,443.0243323
313.4594659,341.9005341
234.8818991,434.2732344
305.6199407,246.6715727
289.8801187,319.5366172
260.6490208,266.9084866
289.8801187,319.5366172
