Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Role
shanee  brow,,133,282.8,1.35,74%,188,1.01,0.17,0.2,0.1,24%,,0/13,47,134,99,22,27,13,Duelist
OPM  UES,,63,280,1.51,78%,173.1,1.03,0.1,0.19,0.21,25%,50%,03-Jun,23,65,43,6,12,13,Duelist
1TaPGoD  TR,,161,276.4,1.37,74%,175.2,0.99,0.16,0.19,0.16,27%,20%,Mar-15,31,159,116,25,31,25,Duelist
ezzy  Medal,,80,275.5,1.41,78%,170.7,0.95,0.33,0.13,0.1,27%,17%,02-Dec,21,76,54,26,10,8,Duelist
shooterR  OGT,,517,274.4,1.31,75%,170.5,0.95,0.16,0.21,0.16,34%,6%,Feb-32,27,491,375,82,109,81,Duelist
DEATHMAKER  VLT,,391,273.6,1.44,75%,173.6,0.97,0.15,0.18,0.1,33%,19%,Sep-47,36,380,264,58,72,40,Duelist
rawfiul  ENGM,,445,272.3,1.43,74%,172.3,0.96,0.13,0.17,0.1,30%,10%,Apr-39,29,429,300,60,76,46,Duelist
traNz  Agon,,103,269,1.31,79%,165.1,0.99,0.11,0.21,0.17,30%,6%,Jan-18,28,102,78,11,22,17,Duelist
Drix  SUS,,49,267.5,1.1,67%,174.4,0.9,0.27,0.2,0.27,15%,,0/3,26,44,40,13,10,13,Duelist
tesseract  OGT,,517,267.2,1.56,78%,171.9,0.97,0.32,0.1,0.07,33%,20%,Oct-51,37,501,321,164,54,38,Duelist
gothchild  brow,,133,266.8,1.38,81%,175.9,0.9,0.24,0.11,0.07,26%,16%,Mar-19,36,120,87,32,15,9,Duelist
1KAPUMBA  Wolf,,37,266.5,1.23,68%,161.5,1,0.19,0.05,0.05,24%,23%,Mar-13,21,37,30,7,2,2,Duelist
Busterrr  Medal,,80,265.3,1.36,78%,176.2,0.95,0.16,0.06,0.05,30%,11%,01-Sep,22,76,56,13,5,4,Duelist
GENSH1  Wolf,,24,265,1.29,71%,171.4,0.92,0.13,0.17,0.08,27%,,0/3,22,22,17,3,4,2,Duelist
son1c  SE,,64,265,1.33,84%,162.3,0.95,0.5,0.08,0.08,24%,40%,02-May,23,61,46,32,5,5,Duelist
BUTTSAHAB  Agon,,103,262.6,1.31,75%,163.2,0.89,0.17,0.12,0.14,27%,14%,01-Jul,27,92,70,17,12,14,Duelist
Bloody  PE,,78,262,1.47,76%,174.5,0.96,0.1,0.18,0.13,29%,22%,02-Sep,21,75,51,8,14,10,Duelist
SkRossi  GES,,592,261.3,1.31,72%,161.7,0.92,0.13,0.24,0.13,27%,9%,May-57,27,546,417,76,143,77,Duelist
Binks  T69,,41,258,1.17,73%,166.3,0.85,0.39,0.1,0.1,19%,,0/5,24,35,30,16,4,4,Duelist
ChromnZ  uG,,212,257.5,1.05,66%,169.7,0.84,0.26,0.16,0.12,13%,10%,Feb-20,31,178,169,56,34,26,Duelist
shah  MT,,33,257,0.93,70%,163.5,0.82,0.15,0.06,0.09,26%,11%,01-Sep,14,27,29,5,2,3,Duelist
PanzeR  MB,,76,256.5,1.42,71%,163.3,0.93,0.22,0.09,0.07,20%,17%,Mar-18,24,71,50,17,7,5,Duelist
strixx  T69,,41,255.5,1.09,76%,150.9,0.88,0.12,0.24,0.12,33%,17%,01-Jun,24,36,33,5,10,5,Duelist
Cactus  FNG,,63,250,1.04,59%,148.9,0.86,0.14,0.19,0.14,30%,13%,01-Aug,20,54,52,9,12,9,Duelist
EpickY  MT,,33,249.5,0.93,70%,161.2,0.85,0.06,0.12,0.27,34%,,0/4,15,28,30,2,4,9,Non-Duelist
Rafaaaa  LE,(+2),178,249.1,1.21,74%,155.2,0.84,0.31,0.04,0.04,24%,25%,Jun-24,30,149,123,55,8,8,Non-Duelist
