round,atkTeam,half,t1_load,t2_load,wTeam
3,0,0,3,4,1
4,0,0,3,4,0
5,0,0,4,4,1
6,0,0,2,4,1
7,0,0,4,4,1
8,0,0,3,4,0
9,0,0,4,4,1
10,0,0,3,4,1
11,0,0,2,4,0
17,1,1,4,4,1
18,1,1,4,4,1
19,1,1,4,4,1
20,1,1,4,4,1
19,1,1,4,4,1
20,1,1,4,4,0
22,1,1,4,4,1
23,1,1,4,4,0
24,1,1,4,4,0
3,1,0,3,4,1
5,1,0,2,4,1
6,1,0,4,4,1
7,1,0,3,4,1
8,1,0,3,4,1
9,1,0,2,4,1
10,1,0,4,4,0
11,1,0,4,4,1
12,1,0,3,4,1
15,0,1,4,4,0
17,0,1,4,4,1
18,0,1,4,4,0
21,0,1,4,4,1
22,0,1,4,4,1
4,1,0,3,4,1
5,1,0,4,4,1
6,1,0,4,4,0
7,1,0,4,4,1
8,1,0,2,4,1
9,1,0,4,4,0
10,1,0,3,4,1
11,1,0,2,4,0
12,1,0,4,4,0
15,0,1,3,4,0
17,0,1,4,4,0
4,0,0,4,4,1
5,0,0,4,4,1
6,0,0,2,4,1
7,0,0,4,4,1
8,0,0,4,4,0
10,0,0,4,4,0
12,0,0,4,4,0
15,1,1,3,4,0
4,1,0,3,4,1
5,1,0,2,4,0
7,1,0,4,4,1
8,1,0,4,4,0
10,1,0,3,4,1
11,1,0,4,4,1
12,1,0,3,4,1
16,0,1,4,4,1
18,0,1,3,4,1
4,1,0,2,4,1
5,1,0,4,4,1
6,1,0,3,4,1
7,1,0,4,4,1
8,1,0,3,4,1
9,1,0,4,4,1
10,1,0,3,4,1
11,1,0,3,4,1
12,1,0,3,4,0
3,1,0,1,4,1
4,1,0,4,4,0
5,1,0,4,4,0
7,1,0,4,4,0
9,1,0,4,4,0
11,1,0,4,4,1
12,1,0,4,4,1
16,0,1,3,4,1
17,0,1,2,4,1
18,0,1,4,4,0
20,0,1,4,4,0
22,0,1,4,4,1
23,0,1,4,4,0
24,0,1,4,4,1
3,0,0,3,4,0
5,0,0,4,4,1
8,0,0,4,4,0
10,0,0,4,4,0
15,1,1,3,4,1
16,1,1,4,4,1
17,1,1,2,4,1
18,1,1,4,4,1
19,1,1,2,4,0
20,1,1,4,4,0
1,0,0,0,0,0
2,0,0,3,1,0
12,0,0,4,3,1
13,1,1,0,0,1
14,1,1,1,3,1
15,1,1,4,3,0
16,1,1,4,2,0
1,0,0,0,0,1
2,0,0,1,1,1
3,0,0,1,1,1
4,0,0,1,1,1
5,0,0,1,1,1
6,0,0,1,1,1
7,0,0,1,1,1
8,0,0,1,1,1
9,0,0,1,1,0
10,0,0,1,1,0
11,0,0,1,1,0
12,0,0,1,1,0
13,1,1,0,0,0
14,1,1,1,1,0
15,1,1,1,1,0
16,1,1,1,1,0
17,1,1,1,1,0
18,1,1,1,1,0
21,1,1,4,2,1
1,1,0,0,0,0
2,1,0,3,1,0
4,1,0,4,3,1
13,0,1,0,0,0
14,0,1,3,1,0
16,0,1,4,2,0
19,0,1,4,3,0
20,0,1,4,2,1
1,1,0,0,0,0
2,1,0,3,3,0
3,1,0,3,2,0
13,0,1,0,0,0
14,0,1,3,1,0
16,0,1,4,2,0
18,0,1,4,3,0
1,0,0,0,0,1
2,0,0,1,3,1
3,0,0,4,3,0
9,0,0,4,2,0
11,0,0,4,3,0
13,1,1,0,0,0
14,1,1,3,1,0
16,1,1,4,3,0
17,1,1,4,3,0
18,1,1,4,3,0
19,1,1,4,3,0
1,1,0,0,0,1
2,1,0,1,3,1
3,1,0,4,3,0
6,1,0,4,2,0
9,1,0,4,3,1
13,0,1,0,0,1
14,0,1,1,3,1
15,0,1,4,3,0
17,0,1,4,3,1
1,1,0,0,0,1
2,1,0,1,3,1
3,1,0,4,3,1
13,0,1,0,0,1
14,0,1,3,3,0
15,0,1,3,2,0
16,0,1,4,3,1
1,1,0,0,0,0
2,1,0,3,1,1
6,1,0,4,3,1
8,1,0,4,2,0
10,1,0,4,2,1
13,0,1,0,0,1
14,0,1,1,3,1
15,0,1,4,3,0
19,0,1,4,3,0
21,0,1,4,2,0
1,0,0,0,0,0
2,0,0,3,1,0
4,0,0,4,2,0
6,0,0,4,3,0
7,0,0,4,1,0
9,0,0,4,2,1
11,0,0,4,3,0
12,0,0,4,3,1
13,1,1,0,0,0
14,1,1,3,1,0
