roundId,matchId,roundNumber,winCondition,winningTeamId,team1LoadoutTier,team2LoadoutTier,attackingTeamId,seriesId,teamOneId,teamTwoId,map,half,spikePlant,spikePlantRoundTimeMillis,defuse,defuseLeftTimeMillis,roundDurationMillis,spikeX,spikeY,sitePlant,atkPostPlant,defPostPlant
1068262,68808,1,kills,363,,,1265,30761.0,1265.0,363.0,Ascent,first,,,,,57633,,,,,
1068263,68808,2,bomb,1265,1.0,3.0,1265,30761.0,1265.0,363.0,Ascent,first,True,38917,False,,49428,832.0,352.0,A,4.0,1.0
1068264,68808,3,kills,363,4.0,3.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,87300,,,,,
1068265,68808,4,kills,363,2.0,3.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,18093,,,,,
1068266,68808,5,kills,1265,3.0,4.0,1265,30761.0,1265.0,363.0,Ascent,first,True,93804,False,,102129,152.0,342.0,B,2.0,1.0
1068267,68808,6,kills,363,4.0,3.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,55276,,,,,
1068268,68808,7,defuse,363,2.0,4.0,1265,30761.0,1265.0,363.0,Ascent,first,True,41404,True,4451,81953,154.0,341.0,B,1.0,3.0
1068269,68808,8,kills,1265,4.0,4.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,95467,,,,,
1068270,68808,9,kills,363,4.0,3.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,94967,,,,,
1068271,68808,10,kills,363,2.0,4.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,95892,,,,,
1068272,68808,11,kills,363,4.0,4.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,72806,,,,,
1068273,68808,12,kills,1265,3.0,4.0,1265,30761.0,1265.0,363.0,Ascent,first,,,,,64297,,,,,
1068274,68808,13,kills,363,,,363,30761.0,1265.0,363.0,Ascent,second,True,22550,False,,53239,836.0,352.0,A,5.0,3.0
1068275,68808,14,bomb,363,1.0,3.0,363,30761.0,1265.0,363.0,Ascent,second,True,40842,False,,89071,830.0,352.0,A,4.0,2.0
1068276,68808,15,time,1265,3.0,4.0,363,30761.0,1265.0,363.0,Ascent,second,True,100548,False,,100000,183.0,336.0,B,1.0,1.0
1068277,68808,16,kills,363,3.0,3.0,363,30761.0,1265.0,363.0,Ascent,second,,,,,33892,,,,,
1068278,68808,17,kills,363,2.0,4.0,363,30761.0,1265.0,363.0,Ascent,second,True,23261,False,,63124,178.0,325.0,B,3.0,2.0
1068279,68808,18,kills,1265,4.0,4.0,363,30761.0,1265.0,363.0,Ascent,second,,,,,67986,,,,,
1068280,68808,19,kills,1265,3.0,4.0,363,30761.0,1265.0,363.0,Ascent,second,,,,,65618,,,,,
1068281,68808,20,kills,1265,4.0,3.0,363,30761.0,1265.0,363.0,Ascent,second,,,,,56511,,,,,
1068282,68808,21,time,1265,4.0,4.0,363,30761.0,1265.0,363.0,Ascent,second,,,,,100000,,,,,
1068283,68808,22,time,1265,4.0,3.0,363,30761.0,1265.0,363.0,Ascent,second,,,,,100000,,,,,
1068284,68808,23,kills,1265,4.0,4.0,363,30761.0,1265.0,363.0,Ascent,second,,,,,76675,,,,,
